,school_name,subject_desc
148,TAMPINES MERIDIAN JUNIOR COLLEGE,"CHINESE B, H1 ART, H1 BIOLOGY, H1 CHEMISTRY, H1 CHINESE LANGUAGE, H1 ECONOMICS, H1 GENERAL PAPER, H1 HISTORY, H1 MALAY LANGUAGE, H1 PHYSICS, H1 PROJECT WORK, H1 TAMIL LANGUAGE, H2 ART, H2 BIOLOGY, H2 CHEMISTRY, H2 ECONOMICS, H2 HISTORY, H2 PHYSICS, MALAY B, PHYSICAL EDUCATION, TAMIL B"
149,TAMPINES SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
150,TANGLIN SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
151,TANJONG KATONG GIRLS' SCHOOL,"MUSIC, PHYSICAL EDUCATION"
152,TANJONG KATONG SECONDARY SCHOOL,PHYSICAL EDUCATION
153,TAO NAN SCHOOL,"ART, ENGLISH LANGUAGE, HIGHER CHINESE, MATHEMATICS, MUSIC, PHYSICAL EDUCATION, SCIENCE, SOCIAL STUDIES"
154,TECK WHYE SECONDARY SCHOOL,"CHINESE B, MUSIC, PHYSICAL EDUCATION"
155,TEMASEK SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
156,UNITY SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC"
157,VICTORIA JUNIOR COLLEGE,"CHINESE B, H1 BIOLOGY, H1 CHEMISTRY, H1 CHINESE LANGUAGE, H1 ECONOMICS, H1 FRENCH LANGUAGE, H1 GENERAL PAPER, H1 JAPANESE LANGUAGE, H1 MALAY LANGUAGE, H1 PHYSICS, H1 PROJECT WORK, H1 TAMIL LANGUAGE, H2 ART, H2 BIOLOGY, H2 CHEMISTRY, H2 COMPUTING, H2 ECONOMICS, H2 FRENCH LANGUAGE, H2 GERMAN LANGUAGE, H2 HISTORY, H2 JAPANESE LANGUAGE, H2 PHYSICS"
158,VICTORIA SCHOOL,"ART, CHINESE B, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
159,WEST SPRING SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC"
160,WESTWOOD SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION"
161,WHITLEY SECONDARY SCHOOL,"ART, CHINESE B, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MALAY B, MUSIC, PHYSICAL EDUCATION"
162,WOODGROVE SECONDARY SCHOOL,"CHINESE B, MUSIC, PHYSICAL EDUCATION"
163,WOODLANDS RING SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC"
164,WOODLANDS SECONDARY SCHOOL,"CHINESE B, MUSIC, PHYSICAL EDUCATION, TAMIL B"
165,XINMIN SECONDARY SCHOOL,MUSIC
166,YIO CHU KANG SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
167,YISHUN INNOVA JUNIOR COLLEGE,"CHINESE B, H1 ART, H1 BIOLOGY, H1 CHEMISTRY, H1 CHINESE LANGUAGE, H1 ECONOMICS, H1 GENERAL PAPER, H1 HISTORY, H1 MALAY LANGUAGE, H1 PHYSICS, H1 PROJECT WORK, H1 TAMIL LANGUAGE, H2 ART, H2 BIOLOGY, H2 CHEMISTRY, H2 COMPUTING, H2 ECONOMICS, H2 HISTORY, H2 PHYSICS, MALAY B, TAMIL B"
168,YISHUN SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, PHYSICAL EDUCATION"
169,YISHUN TOWN SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, MUSIC"
170,YUAN CHING SECONDARY SCHOOL,"CHINESE B, MUSIC, PHYSICAL EDUCATION"
171,YUHUA SECONDARY SCHOOL,"MUSIC, PHYSICAL EDUCATION"
172,YUSOF ISHAK SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
173,YUYING SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, PHYSICAL EDUCATION"
174,ZHENGHUA SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC"
175,ZHONGHUA SECONDARY SCHOOL,"MUSIC, PHYSICAL EDUCATION"
